id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41118241,Seat Leon 2013 Fr,2600000,2013,2.0 TDI 143ch,Blanc,Carte grise / safia,285000km,Seat,Leon,Fr,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41118235,Volkswagen Polo 2007 Police,1220000,2007,1.9 TDI 100ch,Gris Alluminium,Carte grise / safia,390km,Volkswagen,Polo,Police,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,,
41118205,Peugeot 208 2022 GT,10000,2022,"1,2 la 130",Gris Souris,Carte grise / safia,27000km,Peugeot,208,GT,,,,,,,,,,,,,,,,
41118184,Seat Ibiza 2013 Itech,11110000,2013,1.6 TDI 105ch,Blanc,Carte grise / safia,200000km,Seat,Ibiza,Itech,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41118151,Great Wall C30 2012 C30,1500000,2012,1.5 VVT 105ch,Gris Argent,Carte grise / safia,329000km,Great Wall,C30,C30,,,Climatisation,ABS,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,
41118118,Fiat Doblou 2024 1.6 hdi,1230000,2024,1.6,Gris,Carte grise / safia,0km,Fiat,Doblou,1.6 hdi,,,,,,,,,,,,,,,,
41118106,Renault Captur 2022 Luxe,5200000,2022,1.5 DCI 115cv,Blanc,Carte grise / safia,26600km,Renault,Captur,Luxe,,,,,,,,,,,,,,,,
41118082,Chevrolet Spark 2006 Spark,850000,2006,,Bleu,Carte grise / safia,440km,Chevrolet,Spark,Spark,,,,,,,,,,,,,,,,
41118061,Dacia Lodgy 2021 ,10000,2021,1.5 DCI 110ch,Gris Manitoba,Carte grise / safia,16000km,Dacia,Lodgy,,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
40719175,Volkswagen Golf 8 2020 Ehybride,10000,2020,1.4 hybrid 204 ch,Blanc,Carte grise / safia,44443km,Volkswagen,Golf 8,Ehybride,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
40550760,Fiat Doblo 2024 ,1230000,2024,1.6 hdi,Gris Souris,Carte jaune,0km,Fiat,Doblo,,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41118046,Renault Kangoo 2012 Confort,1850000,2012,1.5 DCI 110ch,Blanc,Carte grise / safia,250km,Renault,Kangoo,Confort,,,Climatisation,ABS,Direction assisstée,Radio CD,Alarme,Feux du jour,Vitres éléctriques,,,,,,,
41062180,Citroen C4 Cactus 2015 Feel,2890000,2015,1.6 e-HDI BVR,Blanc,Carte grise / safia,256000km,Citroen,C4 Cactus,Feel,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
41118010,Gonow Mini Truck Double Cabine 2013 Mini Truck Double Cabine,760000,2013,1.0 ess,Blanc,Carte grise / safia,222km,Gonow,Mini Truck Double Cabine,Mini Truck Double Cabine,,,Alarme,,,,,,,,,,,,,
37728675,Volvo S40 2003 S40,650000,2003,1.6 ess 16V 109ch,Noir,Carte grise / safia,490000km,Volvo,S40,S40,,,Climatisation,ABS,Direction assisstée,Jantes Alliage,Vitres éléctriques,,,,,,,,,
40720573,Jeep Wrangler 2016 Wrangler,12800000,2016,V6 285 chv,Blanc,Carte grise / safia,67000km,Jeep,Wrangler,Wrangler,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41118001,Suzuki Maruti 800 2012 Maruti 800,999999999990000,2012,0.8 ess 47ch,Noir,Carte grise / safia,63000km,Suzuki,Maruti 800,Maruti 800,,,,,,,,,,,,,,,,
41117965,Seat Ibiza 2012 Fully,110000,2012,1.4 ess 85ch,Blanc,Carte grise / safia,248000km,Seat,Ibiza,Fully,,,Climatisation,ABS,Radar de recul,Phares antibrouillard,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,
41117944,Nissan Micra 2016 Tekna,1780000,2016,1.3 ess 80ch,Gris Argent,Carte grise / safia,220000km,Nissan,Micra,Tekna,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Vitres éléctriques,,,,,,
41120242,Fiat Doblo 2024 Nouveau,3650000,2024,1.6 hdi 92ch,Gris Souris,,100km,Fiat,Doblo,Nouveau,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Feux du jour,Vitres éléctriques,,,,,,
41120236,Chevrolet Optra 4 portes 2012 Optra 4 portes,1250000,2012,1.6 ess 16V 109ch,Gris Manitoba,Carte grise / safia,400000km,Chevrolet,Optra 4 portes,Optra 4 portes,,,Climatisation,Toit ouvrant,Direction assisstée,Retroviseurs électriques,Radio CD,Vitres éléctriques,,,,,,,,
39572569,Mercedes GLK 2014 TECHNOLOGIE + ,4000000,2014,220 CDI BlueEfficiency,Blanc,Carte grise / safia,180000km,Mercedes,GLK,TECHNOLOGIE + ,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41120224,Toyota Yaris 2012 Yaris,10000,2012,1.3 VVTI 87ch,Gris,Carte grise / safia,300000km,Toyota,Yaris,Yaris,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
41120224,Toyota Yaris 2012 Yaris,10000,2012,1.3 VVTI 87ch,Gris,Carte grise / safia,300000km,Toyota,Yaris,Yaris,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
41120170,Volkswagen Golf 7 2018 R-Line,4900000,2018,2.0 TDI 143ch DSG,Blanc,Carte grise / safia,152000km,Volkswagen,Golf 7,R-Line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41120158,Opel Corsa 2008 Corsa,1050000,2008,1.3 CDTI 90ch,Gris Alluminium,Carte grise / safia,11km,Opel,Corsa,Corsa,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Vitres éléctriques,,,,,,
41120155,Renault Clio Campus 2010 Clio Campus,1600000,2010,1.2 ess 16V 75ch,Gris Argent,Carte grise / safia,417km,Renault,Clio Campus,Clio Campus,,,Climatisation,ABS,Retroviseurs électriques,Phares antibrouillard,Radio CD,Jantes Alliage,Vitres éléctriques,,,,,,,
