id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
40542894,Audi Q3 2024 S line,10000,2024,,Noir,Licence / Délai,00km,Audi,Q3,S line,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40795429,Chevrolet Aveo 4 portes 2011 Aveo 4 portes,1140000,2011,1.5 ess 85ch,Gris,Carte grise / safia,370000km,Chevrolet,Aveo 4 portes,Aveo 4 portes,,,Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage,,,,,,,,,
40800685,Peugeot 208 2015 Allure,2180000,2015,1.6 HDI 92ch,Blanc,Carte grise / safia,198000km,Peugeot,208,Allure,,,Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage,,,,,,,,,
40795486,Peugeot 208 2016 Allure Facelift,2500000,2016,1.6 HDI 92ch,Gris,Carte grise / safia,180000km,Peugeot,208,Allure Facelift,,,Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage,,,,,,,,,
40080499,Renault Scenic 2016 Bos,2420000,2016,1.9 DCI 130 CH,Gris Champagne,Carte grise / safia,239000km,Renault,Scenic,Bos,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40064886,Hyundai Creta 2018 GLS,3220000,2018,1.6 CRDI,Gris Souris,Carte grise / safia,206000km,Hyundai,Creta,GLS,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
40820515,Peugeot 207 2010 Allure,1120000,2010,1.6 HDI 90ch,Gris,Carte grise / safia,325000km,Peugeot,207,Allure,,,Climatisation,ABS,Retroviseurs électriques,Alarme,Jantes Alliage,,,,,,,,,
40518492,Peugeot 106 1999 106,1000000,1999,1.5 D 58ch,Blanc,Carte grise / safia,332000km,Peugeot,106,106,,,Alarme,,,,,,,,,,,,,
40342405,Volkswagen T-CROSS 2021 ACTIVE,4800000,2021,1.0 110CH,Gris Souris,Carte grise / safia,66173km,Volkswagen,T-CROSS,ACTIVE,,,Climatisation,ABS,ESP,Radar de recul,Retroviseurs électriques,Phares antibrouillard,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,,
40861141,Hyundai i10 2015 GLS,10000,2015,,Gris,Carte grise / safia,123000km,Hyundai,i10,GLS,,,Climatisation,ABS,Direction assisstée,Alarme,Vitres éléctriques,,,,,,,,,
