id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
40716703,Renault Kangoo 2014 Kangoo,10000.0,2014,1.5 DCI 110ch,Blanc,Carte grise / safia,265850km,Renault,Kangoo,Kangoo,,,Climatisation,ABS,ESP,Direction assisstée,Radio CD,Alarme,Vitres éléctriques,,,,,,,
40716682,Peugeot 406 1997 406,10000.0,1997,,Blanc,Carte grise / safia,153000km,Peugeot,406,406,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
40716640,Chevrolet Spark 2010 Lite Ls,1200000.0,2010,1.0 ess 68ch,Noir,Carte grise / safia,320km,Chevrolet,Spark,Lite Ls,,,Climatisation,Radio CD,Alarme,Vitres éléctriques,,,,,,,,,,
40652341,Chery Yokki 2019 2019,10000.0,2019,1.3,Gris Argent,Carte grise / safia,133000km,Chery,Yokki,2019,,,Climatisation,ABS,Radio CD,Alarme,,,,,,,,,,
40716598,Renault Kangoo 2016  Extrême Outdoor,10000.0,2016,1.5 DCI 110ch,Blanc,Carte grise / safia,128km,Renault,Kangoo, Extrême Outdoor,,,Climatisation,Toit ouvrant,ABS,ESP,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,,,
40643279,"Fiat FIAT Tipo city plus 1,6 boite auto 2023 ",3150000.0,2023,"1,6/110",Bleu Nuit,Carte grise / safia,8000km,Fiat,"FIAT Tipo city plus 1,6 boite auto",,,,Climatisation,ABS,ESP,Phares antibrouillard,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,,,,
37469443,JMC TFR 2012 ,1100000.0,2012,,,,,JMC,TFR,,,,,,,,,,,,,,,,,
38790651,Toyota Yaris 2015 Yaris,1900000.0,2015,1.3 VVTI 100ch,Gris,Carte jaune,300000km,Toyota,Yaris,Yaris,,,Climatisation,ABS,ESP,Direction assisstée,Radio CD,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,
40716577,Citroen Berlingo 2020 Berlingo,11111111110000.0,2020,1.6 HDI 112ch,Gris,Carte grise / safia,,Citroen,Berlingo,Berlingo,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
38541116,Audi A1 2012 S Line,11110000.0,2012,1.4 TFSI 122ch,Gris Souris,Carte grise / safia,273000km,Audi,A1,S Line,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,,
