id,title,price,specs_annee,specs_car_engine,specs_couleur_auto,specs_papiers,specs_kilometrage,specs_marque-voiture,specs_modele,specs_finition,specs_energie,specs_boite,option0,option1,option2,option3,option4,option5,option6,option7,option8,option9,option10,option11,option12,option13
41139928,Peugeot 208 2013 Active,2050000,2013,1.6 HDI 92ch,Gris Manitoba,Carte grise / safia,206000km,Peugeot,208,Active,,,Climatisation,ABS,Radar de recul,Direction assisstée,Radio CD,Vitres éléctriques,,,,,,,,
41139559,Volkswagen Golf 7 2016 Trendline +,3050000,2016,2.0 TDI 110ch,Gris Champagne,Carte grise / safia,180km,Volkswagen,Golf 7,Trendline +,,,ABS,,,,,,,,,,,,,
41138827,Kia Picanto 2014 Style,1800000,2014,1.2 ess CVVT 87ch,Gris Argent,Carte grise / safia,288km,Kia,Picanto,Style,,,Climatisation,ABS,ESP,Direction assisstée,Retroviseurs électriques,Radio CD,Alarme,Jantes Alliage,Feux du jour,Vitres éléctriques,,,,
41138380,Hyundai Grand i10 2019 DZ,2650000,2019,1.2 ess 87ch,Gris,Carte grise / safia,112000km,Hyundai,Grand i10,DZ,,,,,,,,,,,,,,,,
41138374,Dacia Sandero 2019 Stepway,3080000,2019,1.5 DCI 90ch,Gris Souris,Carte grise / safia,94km,Dacia,Sandero,Stepway,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques,
41137957,Audi Q5 2012 Off Road,1900000,2012,2.0 TDI 170ch,Blanc,,310km,Audi,Q5,Off Road,,,Climatisation,ABS,ESP,Retroviseurs électriques,Phares antibrouillard,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,
41137267,Kia Picanto 2016 Safety,20000,2016,,Gris,Carte grise / safia,179000km,Kia,Picanto,Safety,,,Climatisation,ABS,Direction assisstée,Retroviseurs électriques,Alarme,Jantes Alliage,Vitres éléctriques,,,,,,,
41136574,Hyundai Accent 2016 GLS,2200000,2016,,Blanc,Carte grise / safia,162000km,Hyundai,Accent,GLS,,,Climatisation,ABS,Radio CD,Alarme,,,,,,,,,,
41144347,Seat Ibiza 2012 Fully +Toit ouvrant,2100000,2012,1.6 TDI 105ch,Blanc,Carte grise / safia,179000km,Seat,Ibiza,Fully +Toit ouvrant,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41136031,Volkswagen Golf 7 2018 GTD,12340000,2018,2.0 TDI 184ch DSG,Blanc,Carte grise / safia,167km,Volkswagen,Golf 7,GTD,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41135407,Renault Clio 4 Facelift 2022 Limited 2,4100000,2022,1.5 DCi 85ch,Gris Souris,Carte grise / safia,24000km,Renault,Clio 4 Facelift,Limited 2,,,,,,,,,,,,,,,,
41135353,Fiat Doblo 2023 Doblo,3450000,2023,1.6 HDi,Gris Souris,Carte grise / safia,500km,Fiat,Doblo,Doblo,,,,,,,,,,,,,,,,
41144344,Peugeot 301 2013 Access,1300000,2013,1.2 VTI 72ch,Blanc,Carte grise / safia,000km,Peugeot,301,Access,,,Climatisation,ABS,Direction assisstée,Radio CD,Alarme,,,,,,,,,
41134732,Fiat Titano 2024 4*4,550000,2024,150 ch,Gris Manitoba,Carte jaune,00km,Fiat,Titano,4*4,,,,,,,,,,,,,,,,
41132815,Peugeot 208 2016 Allure Facelift,2400000,2016,1.6 HDI 92ch,Blanc,Carte grise / safia,180000km,Peugeot,208,Allure Facelift,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41144326,Peugeot 208 2016 Allure Facelift,2750000,2016,1.6 HDI 92ch,Blanc,Carte grise / safia,120km,Peugeot,208,Allure Facelift,,,Climatisation,Toit ouvrant,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Jantes Alliage,Feux du jour,Vitres éléctriques
41144320,Fiat Scudo 2023 Scudo,1600000,2023,2.0,Gris Manitoba,Carte grise / safia,71000km,Fiat,Scudo,Scudo,,,Climatisation,ABS,ESP,Radar de recul,Direction assisstée,Retroviseurs électriques,Phares antibrouillard,Radio CD,Alarme,Phares xénon,Feux du jour,Vitres éléctriques,,
41144311,Fiat Tipo 2023 City Plus +,10000,2023,1.6 e-torq 110 ch BVA6,Gris Souris,Carte grise / safia,4000km,Fiat,Tipo,City Plus +,,,,,,,,,,,,,,,,
41144287,Chery QQ 2012 QQ,10000,2012,0.8 ess 38ch,Gris,Carte grise / safia,160000km,Chery,QQ,QQ,,,Climatisation,,,,,,,,,,,,,
